INSTNM,INEXPFTE,ADM_RATE_ALL,MD_EARN_WNE_4YR,MEDIAN_HH_INC,FAMINC,MD_FAMINC,STUFACR,UGDS_MEN,UGDS_WOMEN
Yavapai College,7055.0,,40752.0,48093.18,23844.887862,17699,17.0,0.3986,0.6014
University of Arkansas at Little Rock,8464.0,0.57686212361331,48762.0,51732.17,39269.29246,27239,11.0,0.3584,0.6416
University of Arkansas for Medical Sciences,47772.0,,65368.0,49718.16,42150.5275,29171.5,21.0,0.1455,0.8545
Arkansas Baptist College,4418.0,,34623.0,43283.78,20377.133714,14641,23.0,0.7826,0.2174
Arkansas Beauty School-Little Rock,1051.0,,17563.0,46467.08,13911.447514,11328,20.0,0.0714,0.9286
Arkansas Beauty College,2596.0,,18416.0,,29275,14185,8.0,0.0,1.0
Lyon College,11444.0,0.27209492635024,38148.0,48616.43,64437.997245,51394,10.0,0.5885,0.4115
Arkansas Technical School,3876.0,,16238.0,44157.53,13660.455056,9512.5,20.0,0.7581,0.2419
Arthur's Beauty College,9377.0,,16046.0,44415.8,21634.813253,15105.5,13.0,0.04,0.96
University of Arkansas,10882.0,0.82671698816512,55658.0,52450.53,86258.19241,64201,19.0,0.4392,0.5608
University of Arkansas at Pine Bluff,8295.0,0.6752500532028,36857.0,42634.24,30535.569395,22300,14.0,0.4088,0.5912
Arkansas State University-Beebe,4449.0,,34049.0,47850.96,32775.848818,24595,15.0,0.3654,0.6346
Arkansas State University,6090.0,0.63290488431876,43701.0,42159.88,46692.785187,33450,14.0,0.3728,0.6272
Arkansas Tech University,5223.0,0.94371180443872,40057.0,43602.11,43667.734147,32169,18.0,0.441,0.559
University of Arkansas at Monticello,9950.0,,39168.0,39642.34,34654.03622,23351,12.0,0.4147,0.5853
Arthur's Beauty College,4294.0,,20500.0,47817.42,24147.57971,15532,19.0,0.0,1.0
Baptist Health College Little Rock,14016.0,0.0,56072.0,50522.63,42395.8976,29617,9.0,0.1216,0.8784
Black River Technical College,8486.0,,35078.0,38741.83,26871.416216,20619,13.0,0.3174,0.6826
University of Central Arkansas,8113.0,0.9237246161466,44604.0,48705.91,51621.338246,37082,15.0,0.3843,0.6157
Central Baptist College,3828.0,0.6160458452722,38728.0,50351.38,51145.723404,38278,11.0,0.5476,0.4524
Cossatot Community College of the University of Arkansas,6840.0,,34513.0,40394.08,22685.497207,20384,18.0,0.3089,0.6911
Crowley's Ridge College,3436.0,,34744.0,43531.15,49575.235294,47685,9.0,0.5588,0.4412
East Arkansas Community College,8232.0,,30432.0,36763.69,25163.710588,18823,11.0,0.2756,0.7244
Eastern College of Health Vocations-Little Rock,2367.0,,23490.0,47009.67,14922.672535,11241.5,12.0,0.0161,0.9839
Paul Mitchell the School-Little Rock,2599.0,,19149.0,50392.05,32714.775832,19466,12.0,0.0636,0.9364
National Park College,7836.0,,34679.0,42516.37,24124.12824,17464,15.0,0.3789,0.6211
University of Arkansas Community College-Batesville,4805.0,,45586.0,41751.68,27564.158416,22454,13.0,0.3023,0.6977
Harding University,9729.0,0.54136363636363,48137.0,61757.88,83701.980096,71055,16.0,0.4418,0.5582
Henderson State University,4632.0,0.75010517458981,39440.0,45548.96,42411.974123,30416,14.0,0.4726,0.5274
Hendrix College,14193.0,0.68301886792452,40920.0,63550.03,87378.763889,64295.5,11.0,0.4887,0.5113
Hot Springs Beauty College,2272.0,,19066.0,44560.1,17240.298246,13946,19.0,0.0353,0.9647
Jefferson Regional School of Nursing,5858.0,,63815.0,44278.02,40192.127907,24327.5,8.0,0.1212,0.8788
John Brown University,8546.0,0.5286783042394,46598.0,56884.69,69960.702597,52350.5,15.0,0.4019,0.5981
Career Academy of Hair Design,4662.0,,19201.0,50797.95,26422.623596,17526.5,5.0,0.0102,0.9898
Academy of Salon and Spa,5194.0,,20360.0,43968.6,22261.547009,13269,18.0,0.0,1.0
Arkansas State University Mid-South,5414.0,,35799.0,41452.41,17675.934211,16021,10.0,0.3486,0.6514
Arkansas Northeastern College,8868.0,,33388.0,37938.88,22329.569132,19292.5,19.0,0.3422,0.6578
New Tyler Barber College Inc,3986.0,,13113.0,45287.22,10422.261538,6000,20.0,0.6667,0.3333
North Arkansas College,7626.0,,35122.0,39024.26,26014.587542,21388.5,14.0,0.3798,0.6202
Northwest Technical Institute,15464.0,,41310.0,48871.29,25435.483051,21612,6.0,0.6839,0.3161
Ouachita Baptist University,8981.0,0.7375478927203,41568.0,61306.22,75993.588697,62149,13.0,0.4262,0.5738
Arkansas State University Three Rivers,7994.0,,51251.0,46122.57,32209.648562,24497,14.0,0.2807,0.7193
Ozarka College,6096.0,,27286.0,34796.93,23108.691358,17500,14.0,0.2456,0.7544
University of the Ozarks,9289.0,0.55370177267987,37145.0,51329.59,52938.05618,40931.5,15.0,0.4735,0.5265
University of Arkansas Community College-Morrilton,5380.0,1.0,37714.0,44557.97,31724.254093,22457,19.0,0.3726,0.6274
Philander Smith College,5287.0,,35485.0,45434.78,23559.104725,18743,12.0,0.3611,0.6389
Phillips Community College of the University of Arkansas,7583.0,,27525.0,34872.94,17763.342809,15160.5,12.0,0.3093,0.6907
Southeast Arkansas College,5476.0,,42740.0,42805.78,21908.112922,17448,10.0,0.2649,0.7351
Professional Cosmetology Education Center,2463.0,,12984.0,39190.14,28840.5,22978,19.0,0.0,1.0
University of Arkansas-Pulaski Technical College,5702.0,,32433.0,50007.22,28325.385313,20542,15.0,0.3341,0.6659
University of Arkansas Hope-Texarkana,8281.0,,35616.0,38791.69,20284.010741,17783,14.0,0.25,0.75
University of Arkansas Community College Rich Mountain,5128.0,,29044.0,35544.46,20788.148515,17973.5,28.0,0.38,0.62
Paul Mitchell the School-Arkansas,2278.0,,21085.0,47966.62,43844.22293,25628,20.0,0.0169,0.9831
Searcy Beauty College,1128.0,,11826.0,42041.01,20788.877358,12782,25.0,0.0119,0.9881
Shorter College,14840.0,,15458.0,,4180.5390173,0,13.0,0.3061,0.6939
Williams Baptist University,4070.0,0.64098221845893,35952.0,42485.2,52772.823077,43631.5,17.0,0.4857,0.5143
South Arkansas Community College,5998.0,,40481.0,40724.53,26713.163293,19138,13.0,0.2745,0.7255
Southern Arkansas University Main Campus,4998.0,0.62602204052612,42027.0,42416.87,41490.204799,29945.5,15.0,0.4444,0.5556
Southern Arkansas University Tech,10145.0,,41035.0,39761.28,26421.942509,19465.5,9.0,0.4566,0.5434
Velvatex College of Beauty Culture,2451.0,,,46600.84,8777.0681818,4800,15.0,0.0,1.0
University of Arkansas-Fort Smith,7558.0,,40795.0,45327.2,40021.882983,29173,18.0,0.393,0.607
Academy of Art University,14347.0,,42662.0,74015.06,37907.316216,22550.5,14.0,0.4343,0.5657
Academy of Chinese Culture and Health Sciences,7099.0,,,,,,,,
College of Alameda,4562.0,,50599.0,61586.14,17829.596296,14595,25.0,0.4299,0.5701
Allan Hancock College,6762.0,,38746.0,56468.26,26488.803135,23452,21.0,0.4449,0.5551
American Academy of Dramatic Arts-Los Angeles,8707.0,0.71095152603231,16806.0,72405.21,65846.883598,41206.5,11.0,0.4516,0.5484
Berkeley School of Theology,37354.0,,,,,,,,
American Film Institute Conservatory,7472.0,,,,,,,,
American Beauty College,2944.0,,13108.0,57011.33,21760.212329,16631,25.0,0.2865,0.7135
American Career College-Los Angeles,4954.0,,32594.0,51468.52,23351.174192,15438.5,31.0,0.2087,0.7913
American Conservatory Theater,21488.0,,,80150.07,,,6.0,1.0,0.0
American River College,5241.0,,47127.0,59196.72,18070.304658,13273.5,26.0,0.4812,0.5188
Antelope Valley Community College District,6678.0,,38750.0,58643.73,18790.768215,13661,20.0,0.4179,0.5821
Art Center College of Design,21979.0,0.75560081466395,64166.0,74131.88,51484.238267,30283,8.0,0.4166,0.5834
Associated Technical College-Los Angeles,1371.0,,20182.0,41078.15,8382.4641676,0,18.0,0.2889,0.7111
Associated Technical College-San Diego,9505.0,,19149.0,50973.76,6578.2407407,0,10.0,0.814,0.186
Azusa Pacific University,10122.0,0.94101336022183,56788.0,73950.46,63280.356055,44669,10.0,0.3172,0.6828
Bakersfield College,4050.0,,40103.0,46274.57,21233.834154,18201.5,28.0,0.4422,0.5578
Barstow Community College,4606.0,,29875.0,50748.29,18495.632032,15011,21.0,0.3047,0.6953
Bellus Academy-Chula Vista,3536.0,,20877.0,54154.45,25035.75873,15830,19.0,0.1552,0.8448
Bethesda University,1027.0,,,73410.31,26031.78125,10349,10.0,0.7727,0.2273
Biola University,10650.0,0.60771704180064,49436.0,75484.4,83761.273464,60489,13.0,0.38,0.62
Brownson Technical School,5304.0,,57790.0,71944.78,31042.147727,21841.5,15.0,0.9959,0.0041
Bryan University,4409.0,,31365.0,60965.37,21260.987709,14493,32.0,0.2895,0.7105
Butte College,6036.0,,61917.0,46805.61,22265.691248,16880,21.0,0.4344,0.5656
California Institute of Integral Studies,11461.0,,53158.0,76698.12,26409.270588,18380,12.0,0.1905,0.8095
Cabrillo College,9331.0,,43031.0,70523.73,23242.415559,19212.5,18.0,0.4167,0.5833
California Baptist University,9490.0,0.63732320033776,55615.0,66849.57,61450.927923,42597,19.0,0.3651,0.6349
California College of the Arts,18910.0,0.77625570776255,44286.0,73343.27,65802.724324,38844.5,8.0,0.364,0.636
University of California-Hastings College of Law,26496.0,,,77597.69,,,,,
California Institute of Technology,112738.0,0.03915246430216,139418.0,81448.64,74238.771739,44848,3.0,0.5532,0.4468
California Lutheran University,9346.0,0.81935164563226,56633.0,81648.78,77359.229213,56619,14.0,0.4672,0.5328
California Polytechnic State University-San Luis Obispo,9301.0,0.32999816749129,76958.0,74683.78,94049.883774,74513,21.0,0.5128,0.4872
Alliant International University-San Diego,7772.0,1.0,63129.0,71211.32,31048.253165,20685.5,5.0,0.326,0.674
California State University-Bakersfield,6385.0,0.85211610183233,52478.0,53982.7,36292.440826,27270.5,21.0,0.3435,0.6565
California State University-Stanislaus,7506.0,0.94756097560975,52280.0,56979.76,37510.573581,28214,20.0,0.3293,0.6707
California State University-San Bernardino,7385.0,0.90970360726047,49585.0,59070.9,35681.230406,25849,25.0,0.3745,0.6255
California State Polytechnic University-Pomona,6307.0,0.606243632659,60676.0,68064.96,43622.829232,29032,28.0,0.5362,0.4638
California State University-Chico,7114.0,0.85472736368184,54252.0,61867.44,48182.901068,30780,22.0,0.4549,0.5451
California State University-Dominguez Hills,6371.0,0.89594408936144,49101.0,54533,27504.03926,20044,25.0,0.3691,0.6309
California State University-Fresno,6769.0,0.97275293808679,51712.0,53295.09,35012.973285,27059,22.0,0.398,0.602
California State University-Fullerton,6668.0,0.59430660168365,53821.0,73036.4,40804.703603,28124,25.0,0.4116,0.5884
California State University-East Bay,5996.0,0.8235741971207,62058.0,78750.43,35512.449933,24527,24.0,0.3985,0.6015
California State University-Long Beach,7483.0,0.46852000834301,53905.0,66954.9,38978.085901,26465,23.0,0.4227,0.5773
California State University-Los Angeles,6631.0,0.90541696608835,50393.0,52850.08,29946.130982,22032,25.0,0.4062,0.5938
California State University-Northridge,6440.0,0.88104497801826,51029.0,64055.44,32895.03313,22839,26.0,0.4505,0.5495
California State University-Sacramento,7169.0,0.93684488681405,55745.0,65686.13,39578.361495,27217,25.0,0.4281,0.5719
University of California-Berkeley,21463.0,0.14440417216841,81720.0,77601.85,54799.682386,31227,20.0,0.454,0.546
University of California-Davis,25671.0,0.48754591368227,62995.0,76621.08,51677.668534,33783.5,21.0,0.3983,0.6017
University of California-Irvine,25085.0,0.28818897637795,60478.0,78085.65,48922.474589,34735,18.0,0.454,0.546
University of California-Los Angeles,60528.0,0.10773609388553,64315.0,72896.84,54617.435749,32613.5,18.0,0.4023,0.5977
University of California-Riverside,14457.0,0.65380088092345,52275.0,68292.12,48858.90877,35809,24.0,0.4701,0.5299
University of California-San Diego,22086.0,0.34204213336036,69529.0,76397.62,53756.503332,35914,19.0,0.4871,0.5129
University of California-San Francisco,141505.0,,134709.0,78614.96,14932.768116,7007,,,
University of California-Santa Barbara,14453.0,0.29178065334481,60240.0,73046.19,56328.700609,36166,17.0,0.4383,0.5617
University of California-Santa Cruz,11970.0,0.58638463408704,52813.0,78075.09,61406.143234,42014.5,24.0,0.5217,0.4783
Sofia University,1973.0,,,,,,11.0,0.25,0.75
California Beauty School,3512.0,,19225.0,55666.76,33871.259615,20291,15.0,0.0,1.0
California Christian College,7526.0,1.0,,53248.94,29254.333333,11240,2.0,0.7143,0.2857
Haven University,7820.0,,,,,,12.0,0.4091,0.5909
California Hair Design Academy,9281.0,,15266.0,60813.75,30243.092937,21829,16.0,0.2234,0.7766
California Institute of the Arts,29707.0,0.28976311336717,33481.0,74875.2,90561.135762,55256,7.0,0.4171,0.5829
California State University Maritime Academy,20532.0,0.82089552238805,99516.0,78248.99,81447.758706,64087,12.0,0.8068,0.1932
California Western School of Law,10653.0,,,70227.48,,,,,
Canada College,7554.0,,55117.0,93099.25,24066.1974,19161,19.0,0.3846,0.6154
College of the Canyons,6278.0,,42014.0,79149.63,26665.254803,21409,23.0,0.4878,0.5122
Career Academy of Beauty,5367.0,,19790.0,74369.68,22093.976096,14470,21.0,0.0258,0.9742
Casa Loma College-Los Angeles,7174.0,1.0,48370.0,58455.73,37061.255556,27326,19.0,0.3902,0.6098
CET-San Diego,8725.0,,32183.0,55670.96,17278.963278,13272,25.0,0.798,0.202
CET-San Jose,18704.0,,32183.0,55670.96,17278.963278,13272,14.0,0.7614,0.2386
CET-El Centro,13145.0,,32183.0,55670.96,17278.963278,13272,16.0,0.7421,0.2579
CET-Colton,11775.0,,32183.0,55670.96,17278.963278,13272,14.0,0.8519,0.1481
CET-Watsonville,11438.0,,32183.0,55670.96,17278.963278,13272,15.0,0.5333,0.4667
CET-Salinas,8769.0,,32183.0,55670.96,17278.963278,13272,20.0,0.141,0.859
Cerritos College,5658.0,,37939.0,55858.83,22851.129359,19002,26.0,0.4673,0.5327
Cerro Coso Community College,4699.0,,,54392.52,18216.883633,13834,22.0,0.4949,0.5051
Chabot College,6419.0,,54095.0,75387.89,23018.690871,19292,20.0,0.4737,0.5263
Chaffey College,5096.0,,,65064.63,22047.183225,18960,21.0,0.3818,0.6182
Chapman University,17712.0,0.60372234733077,58726.0,73437.32,105779.20369,79694,12.0,0.3963,0.6037
Charles R Drew University of Medicine and Science,22913.0,0.63291139240506,76667.0,55906.67,36853.217742,23199.5,8.0,0.3412,0.6588
Concordia University-Irvine,8024.0,0.81378254211332,58564.0,79890.85,74611.54371,50504,15.0,0.3975,0.6025
San Diego Christian College,7327.0,0.52704257767548,40192.0,66943.92,50387.284382,31569,12.0,0.4498,0.5502
Church Divinity School of the Pacific,21645.0,,,,,,,,
Citrus College,5359.0,,35381.0,66112.83,23527.366339,18677.5,23.0,0.4312,0.5688
Citrus Heights Beauty College,10413.0,,19129.0,,29128.22549,18686.5,16.0,0.0198,0.9802
City College of San Francisco,8602.0,,49075.0,73519.25,17954.03176,13954,19.0,0.4583,0.5417
Claremont Graduate University,25876.0,,94278.0,68303.77,45627.685714,35864,,,
Claremont McKenna College,30917.0,0.11239346590909,82384.0,82855.72,97309.962441,71150,8.0,0.4922,0.5078
Milan Institute-Visalia,2554.0,,28906.0,58076.12,18892.904943,14636,16.0,0.0581,0.9419
Clovis Adult Education,3142.0,,34645.0,47652.24,19102.390244,16391.5,30.0,0.1118,0.8882
Coastline Community College,2921.0,,50790.0,68030.49,21677.792066,18681.5,24.0,0.515,0.485
University of Silicon Valley,4914.0,0.5064935064935,49756.0,90231.08,56294.35274,35952,12.0,0.7381,0.2619
Coba Academy,12570.0,,20303.0,79001.98,22453.324675,15879,13.0,0.1894,0.8106
Western University of Health Sciences,28571.0,,,68302.51,,,,,
Columbia College,6416.0,,44602.0,53192.16,18398.719498,13865,16.0,0.4526,0.5474
Columbia College Hollywood,3814.0,,32895.0,66257.22,70992.81982,46576,14.0,0.568,0.432
Compton College,7458.0,,36577.0,,,,15.0,0.3226,0.6774
Contra Costa College,6784.0,,,65623.06,19517.971475,14339,20.0,0.3915,0.6085
Cosumnes River College,4615.0,,40019.0,65383.01,21129.04656,16505,27.0,0.4188,0.5812
Crafton Hills College,4700.0,,40594.0,55947.33,23380.887292,20504,20.0,0.4457,0.5543
Cuesta College,6869.0,,41157.0,60497.21,27315.926337,19228.5,25.0,0.4624,0.5376
Cuyamaca College,4453.0,,34275.0,61734.7,15220.745605,11353,25.0,0.4265,0.5735
Cypress College,5562.0,,43856.0,66567.62,23043.14093,18919,22.0,0.4112,0.5888
De Anza College,6020.0,,65324.0,99537.14,25568.044337,20482.5,27.0,0.494,0.506
International School of Beauty Inc,1088.0,,15575.0,,26097.551587,16739.5,25.0,0.2642,0.7358
Dell'Arte International School of Physical Theatre,61194.0,,,69949.14,,,6.0,0.2308,0.7692
College of the Desert,6260.0,,37785.0,50445.34,22260.667728,19994,24.0,0.4032,0.5968
Design Institute of San Diego,7647.0,1.0,50629.0,71383.01,44996.382353,28781.5,9.0,0.1092,0.8908
